org_id,markt,naam,naam_aliassen,moeder_org_id,categorie,domein,beoordeelt_zelf,bewijs_citaat,bewijs_url,particulier,bron_particulier,omvang_medewerkers,lerenden_per_jaar,lerenden_diploma,lerenden_diploma_bron,aantal_opleidingen,cursusprijs,omzet_indicatie,geschatte_jaarwaarde,omvang_niveau,omvang_citaat,omvang_url,icp_status,blokkade_reden,close_lead_id,close_gecheckt_op,contact_zoekpoging,notities,laatst_bijgewerkt,bijgewerkt_door
org_aog-school-of-management,nl,AOG School of Management,,org_freia-groep,"Academisch opleidingsinstituut, professional masters (MSc, 15 EC thesis) en leergangen; eigen examencommissie en kerndocenten",aog.nl,Ja,"""Hierin werk je in groepen van maximaal 10 personen aan jouw eindopdracht."" plus ""Naast deze gezamenlijke bijeenkomsten heb je ook 8 uur individuele begeleiding van je kerndocent. De Thesis wordt afgesloten met een mondeling examen (verdediging)."" en ""Na een positieve beoordeling van de examencommissie ontvang je jouw Masterdiploma."" —",https://www.aog.nl/opleiding/professional-master-strategy-leadership-msc/,Ja,"NRTO-lid, particuliere academische opleider",,342,342,https://www.aog.nl/,13,15000,5130000,130000,afgeleid,"'Een netwerk van > 13.000 alumni' en 'Sinds 1988' (homepage aog.nl). Rekensom: 13.000 alumni over 38 jaar = circa 342 gediplomeerden per jaar. Het hele aanbod is diplomagericht (leergangen van 9 maanden a 15 EC, MSc Strategy and Leadership, MBA), dus diploma-aantal valt samen met het totaal.",https://www.aog.nl/,gekwalificeerd,,,,,"Poort 0b duur, 2026-08-18: HAALT DE EIS. Grond: gemeten: 24 mnd.",2026-09-02,lead-sourcing-nl
org_aog-tsm-business-school,nl,AOG TSM Business School,,org_aog-tsm-business-school-b-v,"Postacademisch bedrijfskundig managementonderwijs (MBA) voor werkende professionals, deeltijd",publicaties.nvao.net,Ja,"NVAO-visitatierapport MBA Innovation & Leadership: ""Examinatoren zijn voldoende geschoold om toetsen te ontwikkelen en het werk van deelnemers te beoordelen."" — ).pdf",https://publicaties.nvao.net/prd/AV-2976_20250320_Rapport_Definitief%20rapport%20visitatie%20MBA%20Innovation%20_%20Leadership_Aequi%20(ISAT%2070214,Onbekend,"B.V., postacademisch, nog te bevestigen",,,,,3,,,,onbekend,"DUO RIO ho-onderwijslicenties, peildatum 2026-09-02: 3 actieve, van elkaar verschillende erkende opleidingen op naam van AOG TSM Business School B.V. (bekostigingscode RECHTSPERSOON_HO, dus niet-bekostigd)",https://onderwijsdata.duo.nl/dataset/c416acd1-e083-4ec6-9203-3b20f98fe143/resource/a20cef1d-173d-403c-86c0-91f22f45877b/download/ho_onderwijslicenties.csv,gekwalificeerd,,,,,"Omvang gezocht op 2026-09-02 (agent 1, lane particuliere hogescholen/business schools/postacademisch). Gecontroleerd: eigen site via sitemap-brede scan op over-ons/organisatie/jaarverslag/cijfers-pagina's, gerichte websearch op jaarverslag en deelnemersaantallen. Geen publiek studentaantal. Let op: DUO en Studiekeuze123 publiceren GEEN studentaantallen voor niet-bekostigde instellingen (getest op Breederode: veld 'Studenten: -'), dus die route is dood voor dit hele segment. Volgende route is de belroute of een KvK/jaarrekening-uittreksel.",2026-09-02,lead-sourcing-nl
org_aog-tsm-business-school-b-v,nl,AOG TSM Business School B.V.,,,,,Onbekend,,,Onbekend,,,,,,,,,,,,,kandidaat,,,,,"afgeleid uit de kolom Moeder / groep, niet zelf gekwalificeerd",2026-08-14,migratie
org_artemis-academie,nl,Artemis Academie,,,,,Onbekend,,,Onbekend,,,,,,,,,,,,,kandidaat,,,,,"afgeleid uit contacten, niet gekwalificeerd door agent 1",2026-08-14,migratie
org_auxilio-academie,nl,Auxilio Academie,,org_zelfstandig,"Particulier rijkserkend mbo, medisch-administratief (doktersassistent, triagist eerstelijnszorg)",auxilio.nl,Ja,"""In slechts 11 maanden haal je een erkend mbo-niveau 4 diploma"" (doktersassistent) —  ; erkende mbo-instelling in DUO-register (OIE 32DN), opleiding tot gediplomeerd triagist duurt tot 12 maanden (diploma-triagist/",https://auxilio.nl/academie/,Ja,DUO-register: erkende niet-bekostigde mbo-instelling (OIE 32DN); CRKBO,,,,,2,,,,afgeleid,"DUO RIO mbo-onderwijslicenties, peildatum 2026-09-02: 2 actieve, van elkaar verschillende erkende opleidingen op naam van Auxilio Academie B.V. (bekostigingscode ERKEND, dus niet-bekostigd)",https://onderwijsdata.duo.nl/dataset/c416acd1-e083-4ec6-9203-3b20f98fe143/resource/820dd8a0-231f-4284-8dbb-3e3c4cb1dfc2/download/mbo_onderwijslicenties.csv,afgevallen,Afgevallen 2026-08-18: het mbo-4-traject duurt elf maanden en haalt daarmee de nieuwe poort 0b niet (minstens een opleiding langer dan een jaar). Deze lead was de directe aanleiding voor die aanscherping.,,,,moeder-tekst: Zelfstandig,2026-09-02,lead-sourcing-nl
org_auxilium-academy,nl,Auxilium Academy,,org_zelfstandig,"Post-hbo mantelzorgmakelaar/casemanagement; opdracht-gedreven met docentbeoordeling, klein",auxiliumacademy.nl,Ja,"Post-hbo opleiding tot mantelzorgmakelaar van 10 maanden met beoordeelde opdrachten: ""In 2025/2026 heb ik via de woensdaggroep de opleiding tot mantelzorgmakelaar gevolgd (...) Na tien maanden"" en ""de opbouw van de opdrachten en het contact met docenten en studiegenoten"" —",https://www.auxiliumacademy.nl/,Ja,NRTO-keurmerk,,,,,,,,,,,,afgevallen,"Afgevallen 2026-08-18: te klein, en het traject duurt tien maanden dus het haalt de nieuwe poort 0b niet (minstens een opleiding langer dan een jaar).",,,,moeder-tekst: Zelfstandig,2026-08-18,lead-sourcing-nl
org_avicenna-academie-voor-leiderschap,nl,Avicenna Academie voor Leiderschap,,org_zelfstandig,Leiderschapsleergangen (zorg/onderwijs/publiek); beoordelaar niet vindbaar,academievoorleiderschap.nl,Onbekend,"Langlopende leergangen leiderschap (persoonlijk, strategie & transitie, goed bestuur) —  ; of er beoordeeld werk is en wie beoordeelt is niet gedocumenteerd",https://www.academievoorleiderschap.nl/,Ja,NRTO-lid,,,,,,,,,,,,kandidaat,,,,,moeder-tekst: Zelfstandig,2026-08-14,migratie
org_babel-b-v-kvk-57830975-moeder-mogelijk-sinear-b-v-niet-bevestigd,nl,"Babel B.V. (KvK 57830975); moeder mogelijk Sinear B.V., niet bevestigd",,,,,Onbekend,,,Onbekend,,,,,,,,,,,,,kandidaat,,,,,"afgeleid uit de kolom Moeder / groep, niet zelf gekwalificeerd",2026-08-14,migratie
org_babel-taalcursussen,nl,Babel Taalcursussen,,org_babel-b-v-kvk-57830975-moeder-mogelijk-sinear-b-v-niet-bevestigd,"[AL IN CLOSE - Prospect, niet koud benaderen] Privaat talencentrum, official language partner Universiteit Utrecht",babel.nl,Ja,"""De toets wordt nagekeken door een van onze taaltrainers"" bij de niveautoets, en Babel geeft een eigen certificaat dat de vier vaardigheden op het gewenste taalniveau bevestigt, officieel erkend door het CIBG —",https://babel.nl/toetsing-en-certificering,Ja,"Privaat talencentrum, cursisten betalen — https://www.babel.nl/over-babel/",,,,,,,,,,,,gekwalificeerd,,,,,"moeder-tekst: Babel B.V. (KvK 57830975); moeder mogelijk Sinear B.V., niet bevestigd",2026-08-14,migratie
org_bedrijfskunde-opleiding-utrecht,nl,Bedrijfskunde Opleiding Utrecht,Bedrijfskunde Opleiding Utrecht (BKOU),org_zelfstandig,Post-hbo bedrijfskunde en projectmanagement voor professionals,bedrijfskundeopleidingutrecht.nl,Ja,"""bij je eindbeoordeling een gewogen gemiddelde score van alle opdrachten hebt van hoger dan of gelijk aan 7,5"" —",https://bedrijfskundeopleidingutrecht.nl/praktische-informatie/afstuderen-met-eervolle-vermelding/,Ja,"NRTO-lid, particuliere aanbieder",,,70,https://bedrijfskundeopleidingutrecht.nl/opleiding-bedrijfskunde/,,,,,afgeleid,"""De groepen bestaan uit gemiddeld 12 tot 16 studenten."" + ""Je kunt vijf keer per jaar starten (januari, maart, mei, september en november)."" Rekensom: 5 startmomenten x 1 groep x gem. 14 studenten = ~70 per jaar. Ondergrens: draaien er per startmoment 2-3 groepen over de vijf post-hbo opleidingen, dan 140-210. Alles is diplomagericht (post-hbo, 12 mnd, beroepsproduct per module + verbeterplan als eindwerkstuk).",https://bedrijfskundeopleidingutrecht.nl/opleiding-bedrijfskunde/,gekwalificeerd,,,,,moeder-tekst: Zelfstandig,2026-09-02,lead-sourcing-nl
org_beeckestijn-business-school,nl,Beeckestijn Business School,,org_zelfstandig,"Post-hbo en executive: digital, marketing, CX, AI, data, leiderschap",beeckestijn.org,Ja,"""U krijgt hierin coaching en begeleiding van docenten en sluit de opleiding af met een eindgesprek waarin u uw plan toelicht."" plus ""U wordt, bij het behalen van een 7 of hoger voor uw eindopdracht, opgenomen in het DIM-register als digital marketing professional."" —",https://www.beeckestijn.org/post-hbo-opleidingen/,Onbekend,Nog te checken,,350,,,,,,10000,afgeleid,"Homepage: ""13.000+ professionals opgeleid"" (cumulatief, geen jaarcijfer). Rekensom: 13.000 gedeeld door looptijd = ca. 350/jaar bij oprichting 1989, ca. 620/jaar vanaf 2005. Ondergrens 350 ingevuld. Oprichtingsjaar niet op eigen site geverifieerd. Aanbod loopt van eendaagse trainingen tot post-hbo van ca. 4 maanden; diplomadeel waarschijnlijk een minderheid, geen uitsplitsing gevonden.",https://www.beeckestijn.org/,gekwalificeerd,,,,,"moeder-tekst: Zelfstandig (Beeckestijn Business School B.V., KvK 09164553)",2026-09-02,lead-sourcing-nl
org_beeldcentrum,nl,BeeldCentrum,,org_zelfstandig,Particuliere fotografie-vakopleiding met eigen afstudeerproject en diploma,beeldcentrum.nl,Ja,"""Bij het met goed gevolg afronden van het afstudeerproject ontvang je het diploma van de Opleiding tot Vakfotograaf"" —",https://beeldcentrum.nl/afstudeerproject/,Ja,"NRTO-lid, particuliere aanbieder",,,70,https://beeldcentrum.nl/fotovakopleiding/,,,,,afgeleid,"'Onze groepen zijn niet groter dan 10 personen, zodat je intensief begeleid wordt.' Op dezelfde pagina staan 7 startmomenten in Breda en Zoetermeer. Rekensom: 7 startgroepen x max 10 personen = circa 70 nieuwe fotovakstudenten per jaar. De opleiding duurt 25 lesdagen over anderhalf jaar, dus er lopen er tegelijk meer.",https://beeldcentrum.nl/fotovakopleiding/,gekwalificeerd,,,,,"Poort 0b duur, 2026-08-18: HAALT DE EIS. Grond: gemeten: 15 mnd.",2026-09-02,lead-sourcing-nl
org_beldman-opleidingen,nl,Beldman Opleidingen,,org_zelfstandig,"CGT-nascholing GGZ-professionals, VGCt-geaccrediteerd (CRKBO 2026-08-05)",beldmanopleidingen.nl,Ja,"""Theoretische kennis en vaardigheden worden gedurende de cursus getoetst."" + certificaat na ""met goed gevolg"" afronden; eigen docenten toetsen. Basiscursus CGT: 10 cursusdagen + 9 online-modules, 100 werkuren. —",https://beldmanopleidingen.nl/cursussen/basiscursus-cognitieve-gedragstherapie-cgt-100-uur/,Ja,CRKBO-geregistreerd,,,,,,,,,,,,gekwalificeerd,,,,,moeder-tekst: Zelfstandig,2026-08-14,migratie
org_berghauser-pont-academy,nl,Berghauser Pont Academy,,org_zelfstandig,"Juridische cursussen omgevingsrecht; NLQF 6-leerroute in opbouw, heroverwegen bij groei",berghauserpont.nl,Nee,"Staat in icp.md al onder de uitgesloten uitgevers en kennisbedrijven (marktgroep 7). Losse cursusdagen plus kennisbank. Nuance: eerste leerroute ""Beleidsmedewerker Ruimte"" is inmiddels NLQF 6 geregistreerd, dus over een jaar opnieuw checken —",https://berghauserpont.nl/cursussen-en-opleidingen/,Ja,"NRTO-lid, particuliere aanbieder",,,,,,,,,onbekend,,,kandidaat,,,,,"Omvang gezocht op 2026-09-02 (agent 1, lane particuliere hogescholen/business schools/postacademisch). Gecontroleerd: eigen site via sitemap-brede scan op over-ons/organisatie/jaarverslag/cijfers-pagina's, gerichte websearch op jaarverslag en deelnemersaantallen. Geen publiek studentaantal. Let op: DUO en Studiekeuze123 publiceren GEEN studentaantallen voor niet-bekostigde instellingen (getest op Breederode: veld 'Studenten: -'), dus die route is dood voor dit hele segment. Volgende route is de belroute of een KvK/jaarrekening-uittreksel.",2026-09-02,lead-sourcing-nl
org_beroepsopleiding-personenschade,nl,Beroepsopleiding Personenschade,,org_nivre-geaccrediteerd,Branche-opleiding letselschadebehandelaars,beroepsopleiding-personenschade.nl,Ja,"""Het examen bestaat uit drie onderdelen: dossieraudit, onderhandelingsgesprek en een theorie examen."" Eigen Examencommissie en eigen Onderwijs- en Examenreglement; hbo-niveau, diploma met cijferlijst —",https://www.beroepsopleiding-personenschade.nl/beroepsopleiding-personenschade-middelzwaar-letsel,Onbekend,"Waarschijnlijk particulier, geen bron gevonden",,,,,,,,,onbekend,"Gezocht, niets gevonden. Site, opleidingspagina's, docentenpagina en twee branchenieuwsartikelen (ANP-persportaal, Letselschade.NU) geopend: geen deelnemersaantal en geen groepsgrootte. Enige getal in het nieuws is ""22 grondleggers"", dat zijn de oprichtende partijen. Structuur is wel diplomagericht (BOPS MZL 20 lesdagen over ~16 mnd, diploma Gecertificeerd Letselschadedeskundige); pas 3 lichtingen afgestudeerd, dus klein.",,gekwalificeerd,,,,,moeder-tekst: NIVRE-geaccrediteerd,2026-09-02,lead-sourcing-nl
org_bestuursacademie-nederland,nl,Bestuursacademie Nederland,,org_salta-group-ncoi,"Opleider openbaar bestuur, bestuurskunde en bestuursrecht voor overheidsprofessionals",bestuursacademie.nl,Ja,"""Binnen 4 weken na de examendatum of geplande inleverdatum van de opdracht is het cijfer met het beoordelingsformulier zichtbaar op e-Connect."" —",https://www.bestuursacademie.nl/veelgestelde-vragen/examens-en-afronding.html,Ja,Niet-bekostigde opleider binnen de NCOI-opleidingsgroep,,,,,,,,,,,,geblokkeerd,"Salta-label. Salta zit in Close, geen losse koude outreach (Dante, 02-09-2026).",,,GEEN CONTACT: Valt onder Salta Group / NCOI. Niet los benaderen.,moeder-tekst: Salta Group / NCOI,2026-09-02,dante
org_bit-academy,nl,Bit Academy,,org_zelfstandig,Tech-opleider; mbo-diplomering via partnerinstellingen,noorderpoort.nl,Nee,"Diplomering ligt bij de partner-ROC, niet bij Bit Academy zelf: ""het ROC van Amsterdam zorgt ervoor dat studenten een officiele mbo-opleiding op niveau 4 afronden"". Zelfde model als de BBV-praktijkopleidingsbedrijven in icp.md marktgroep 4 —",https://noorderpoort.nl/over-noorderpoort/verhalen/bit-academy-een-ict-opleiding-maar-dan-anders,Ja,"NRTO-lid, particuliere aanbieder",,,,,,,,,,,,kandidaat,,,,,moeder-tekst: Zelfstandig,2026-08-14,migratie
org_brave-minds,nl,Brave Minds,,org_mbozaak-brave-minds-bv,"Particuliere mbo-opleider (BOL 18 mnd + deeltijd), niveau 4; eigen examinatoren, bewijs indirect",brave-minds.nl,Ja,"""rijkserkende mbo-opleidingen"" plus eigen vacature ""Freelance Examinator"" op de eigen site —",https://www.brave-minds.nl/,Ja,NRTO-lid,,,,,67,,,,afgeleid,"DUO RIO mbo-onderwijslicenties, peildatum 2026-09-02: 67 actieve, van elkaar verschillende erkende opleidingen op naam van BRAVE MINDS (bekostigingscode ERKEND, dus niet-bekostigd)",https://onderwijsdata.duo.nl/dataset/c416acd1-e083-4ec6-9203-3b20f98fe143/resource/820dd8a0-231f-4284-8dbb-3e3c4cb1dfc2/download/mbo_onderwijslicenties.csv,gekwalificeerd,,,,,moeder-tekst: MBOzaak / Brave Minds BV,2026-09-02,lead-sourcing-nl
org_breederode-hogeschool,nl,Breederode Hogeschool,,org_zelfstandig,"Particulier hbo, deeltijdmaster Manuele Therapie (90 EC) voor werkende fysiotherapeuten, Rotterdam",publicaties.nvao.net,Ja,"NVAO-rapport Master Manuele Therapie: ""Bij al deze toetsen wordt het vier-ogenprincipe ingezet: de beoordeling wordt uitgevoerd door twee beoordelaars."" —",https://publicaties.nvao.net/prd/AV-2238_20240304_Rapport_Breederode%20MMT%20def.pdf,Ja,"Particuliere hogeschool, deeltijdmaster voor werkende fysiotherapeuten (zelfde NVAO-bron)",,,,,3,,,,onbekend,"DUO RIO ho-onderwijslicenties, peildatum 2026-09-02: 3 actieve, van elkaar verschillende erkende opleidingen op naam van Breederode Hogeschool (bekostigingscode RECHTSPERSOON_HO, dus niet-bekostigd)",https://onderwijsdata.duo.nl/dataset/c416acd1-e083-4ec6-9203-3b20f98fe143/resource/a20cef1d-173d-403c-86c0-91f22f45877b/download/ho_onderwijslicenties.csv,gekwalificeerd,,,,,"Omvang gezocht op 2026-09-02 (agent 1, lane particuliere hogescholen/business schools/postacademisch). Gecontroleerd: eigen site via sitemap-brede scan op over-ons/organisatie/jaarverslag/cijfers-pagina's, gerichte websearch op jaarverslag en deelnemersaantallen. Geen publiek studentaantal. Let op: DUO en Studiekeuze123 publiceren GEEN studentaantallen voor niet-bekostigde instellingen (getest op Breederode: veld 'Studenten: -'), dus die route is dood voor dit hele segment. Volgende route is de belroute of een KvK/jaarrekening-uittreksel.",2026-09-02,lead-sourcing-nl
