Tier,Aanbieder,Moeder / groep,Categorie,Indicatie schaal,Fit,In pipeline,ACV laag (EUR/jr),ACV hoog (EUR/jr),Midpunt (EUR/jr),Toelichting
3,Webster University (Leiden),Webster (US),Private universiteit (Amerikaans),kleine campus Leiden,Hoog,Nee,10000,28000,19000,"Engelstalig, essay-zwaar Amerikaans model."
3,EuroCollege HBO en MBO,Zelfstandig,Private HBO/MBO,meerdere locaties,Hoog,Nee,8000,25000,16500,"Doet mee aan NSE, enthousiaste studenten, opdrachtgericht."
3,Intercollege Business School,Zelfstandig,Private HBO (Bedrijfskunde),"Utrecht, Den Haag, Amsterdam",Hoog,Nee,8000,22000,15000,"Ondernemend leren, leren door te doen, veel opdrachten."
3,Global School for Entrepreneurship,Zelfstandig,Private HBO (ondernemerschap),"Amsterdam, internationaal",Middel,Nee,8000,22000,15000,"Projectgericht, deels essaybeoordeling."
3,New School for Information Services,Zelfstandig,Private HBO (Amsterdam),kleinschalig,Middel,Nee,8000,20000,14000,Niche private HBO.
3,TMO Fashion Business School,Zelfstandig,Private HBO (mode/business),Doorn,Middel,Nee,8000,20000,14000,Modemanagement met business assignments.
3,IVA Business School,Zelfstandig,Private HBO (automotive/business),Driebergen,Middel,Nee,8000,20000,14000,"Automotive business, opdrachtgericht."
3,Beeckestijn Business School,Zelfstandig,Post-HBO exec (marketing),post-HBO en postdoctoraal,Middel,Nee,8000,22000,15000,"Marketing exec ed, praktijkopdrachten."
3,SBO (Studiecentrum Bedrijf en Overheid),Zelfstandig,Exec opleider,"congressen, cursussen, opleidingen",Middel,Nee,8000,22000,15000,"Publiek en bedrijfsleven, opdrachtvolume wisselend."
3,De Baak,Salta Group (49%),Leiderschap/persoonlijke ontwikkeling,managementcentrum,Laag,Nee,10000,30000,20000,"Vooral leiderschap en gedrag, minder geschreven beoordeling. Lagere fit."
3,EuroPort Business School,Zelfstandig,Private business school,kleinschalig,Middel,Nee,6000,18000,12000,Kleine private business school.
3,Coniche,Zelfstandig,MBO tot MBA + advies,Houten,Laag,Nee,6000,18000,12000,"Breed maar klein, gemengde fit."
